job_id,status,real_development_model_fitting_performed,coverage_fraction,brier_score,log_loss
v3g5job:84c3548a16161c587ae42d1c284eb573b65211a66a55619d705f46f46a16a2b5,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:2daf15f36ed3f468852642513e0e43f1f7eb88f0fd08b8a2e6406c08f5336af6,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:8057bde760f2f20a837e0c8c2fecca6fa98d0255fcfef5e74ed8d22c079210a1,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:a842144187ee7934b220854f09a20406dd554938641361009c1b7ada52af156a,SUCCESS,False,0.4040219378427788,0.25017540964412094,0.6934989757970829
v3g5job:e4070f6227e1a9f7acd764aa69411db8820996a2e5972710a75af03375fc0af2,SUCCESS,False,0.007312614259597806,0.2500078494134367,0.6931627121103197
v3g5job:48de526dc38a58e8c67895898868a84b1a7fe377c6dbd0d284c450aefef14101,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:b5bfc158caf7528e410e582efb3e14c5dfef0908805ec689fff9cc717c4c5b48,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:0cd3e1dccc98963b14e077bf3c8be343894a1cc9b3c6849f704fad6058367e38,FAILED: Training fold is shorter than the registered rolling window.,,,,
v3g5job:a0f26dc3524795d0444e4a514c43169f60c3559b76c6cb0cf1a86b9bae56e15c,SUCCESS,False,0.4936014625228519,0.24952954323330853,0.6922026684462144
v3g5job:c8ce180dc6fa74f6a36a8a7ce1c55937b321f8c8706d0e8673cbbed5a46cf677,SUCCESS,False,0.0018281535648994515,0.24997611604529824,0.6930992922820318
v3g5job:d9c9203f2ac5dac824945309aefaf08fb71224f1662e2612ab12c076668410d3,SUCCESS,False,1.0,0.25641196300435204,0.7060428829143861
v3g5job:1797df04d7d06969b981f1721f2449c4ac5d1ebb5f0462df4c77371796d0ef41,SUCCESS,False,0.9305301645338209,0.24911376208258482,0.6913739804319798
v3g5job:5d419bbaa3885f8f16becad756245e70b3a6e4fb43fb0e1cbce5d802d11c0777,SUCCESS,False,0.8409506398537477,0.2560914000301211,0.7055965921773243
v3g5job:7f16788e9cca5486df951643cbac6ce1b585099f9baed6e05a8517da8171b851,SUCCESS,False,0.396709323583181,0.24937098055942994,0.6918821585192547
v3g5job:42dadd1f9b32fc104a7d974fdb117c075f18595bfb1a8e979607784914ee8b5b,SUCCESS,False,0.41681901279707495,0.2504940337727847,0.6941383417604128
v3g5job:76b6a89640e68f8537d055e2de25d287ffb4d858fc2f3a8219e2d409da463dda,SUCCESS,False,1.0,0.25663272878831217,0.7064946134222975
v3g5job:d81b8abde86cf1b07fc3a7462fc0e052cb685f2bd05deee0764dd42761449d3a,SUCCESS,False,0.7367458866544789,0.2494740374686139,0.6920996025956135
v3g5job:2fffb9bc4a8b63d776418e543418b86f04ad07bb904d1a7ed1df3b6e1cc47ce6,SUCCESS,False,0.8903107861060329,0.2546816286362941,0.7026409957648169
v3g5job:d74795310374d5004a5bdf7f3b5362f185f15412a4dc970bb4ebe2606c3e62cb,SUCCESS,False,0.396709323583181,0.24932949536453541,0.6917982080863982
v3g5job:48d19c706b49d96baf45453161c03a318568b082d074c04e8c4fbe379ff4dfe8,SUCCESS,False,0.48628884826325414,0.25025386384679593,0.6936538930962413
v3g5job:dcd934272701a27c3db01efa549be00fab03c37170951def9f09f2cd6884abcb,SUCCESS,False,1.0,0.2560825961323239,0.7053748887339839
v3g5job:8c4b8b52e42897821790397e713771f86bc91863710eb1a693ecdf01ef8e329f,SUCCESS,False,0.7385740402193784,0.249261303057799,0.691669193675677
v3g5job:c6724208b3acc5d737855aca33e2f124ab068ff0309c71bd77aa3d5f357b7f48,SUCCESS,False,0.8957952468007313,0.2540439723692702,0.7013280634764864
v3g5job:9acb5e0a34f42f307fc7a4f939bba77b99e5ec019ae1744f882284c9afd75b8b,SUCCESS,False,0.5393053016453382,0.24888809174793924,0.6909068835978066
v3g5job:06947ea3c76708229af8fe7ad817450e44a6dcf878024f9853f04783f1b0bc65,SUCCESS,False,0.546617915904936,0.25035527070391406,0.6938688399065611
v3g5job:2fea565345887444fb85afbb3b28db794cf75b385bb09590c0f1e01f391dce3e,SUCCESS,False,0.9981718464351006,0.2575490838332203,0.7083567491803723
