signal_family,horizon_candles,horizon_hours,outer_fold,inner_fold,selected_signal_spec_id,selected_pipeline_id,selected_calibration_method,threshold,coverage,nonzero_decisions,mean_net_edge,cumulative_net_return,turnover_units
bollinger,1,4,3,1,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.1,0.12185215272136475,150,-0.0013875349889005402,-0.3171302483350811,224.0
bollinger,1,4,3,2,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.0,1.0,1231,-0.0007655974862482048,-0.9424505055715401,1025.0
bollinger,1,4,3,2,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.02,0.44110479285134035,543,-0.00024211032970535338,-0.4074659090300071,736.0
bollinger,1,4,3,2,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.05,0.08610885458976442,106,-0.0013669427419424817,-0.23189593064590303,176.0
bollinger,1,4,3,2,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.1,0.004061738424045491,5,-0.008620963172752062,-0.04810481586376031,10.0
bollinger,1,4,3,3,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.0,1.0,1231,0.00010248567549563292,0.12615986653512412,691.0
bollinger,1,4,3,3,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.02,0.5922014622258327,729,0.00011047538641261969,-0.1624634433052005,659.0
bollinger,1,4,3,3,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.05,0.10560519902518278,130,-0.0008061811054108632,-0.21080354370341214,216.0
bollinger,1,4,3,3,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.1,0.0016246953696181965,2,0.06843940900721456,0.1348788180144291,4.0
rsi,1,4,4,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,1641,-0.0007089021254783193,-1.163308387909922,1323.0
rsi,1,4,4,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.70018281535649,1149,-0.0005030242382799355,-0.9109748497836462,1193.0
rsi,1,4,4,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.05,0.33942717854966487,557,-0.002094397055806215,-1.492579160084062,765.0
rsi,1,4,4,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.10664229128580134,175,-0.0015753727475709474,-0.4006902308249158,268.0
rsi,1,4,4,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,1641,0.00012641300260098548,0.2074437372682172,1273.0
rsi,1,4,4,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.7032297379646557,1154,0.0008998163752392582,0.7323880970261039,1109.0
rsi,1,4,4,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.05,0.2291285801340646,376,0.0011214021957106934,0.16964722558722053,548.0
rsi,1,4,4,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.01340645947592931,22,0.0062249166493880985,0.11694816628653808,40.0
rsi,1,4,4,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,1641,-0.0008237645352537434,-1.351797602351393,625.0
rsi,1,4,4,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.5862279098110909,962,-0.0010418340509081656,-1.3112443569736556,743.0
rsi,1,4,4,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.05,0.08409506398537477,138,-0.0009624299100007081,-0.21781532758009775,174.0
rsi,1,4,4,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.0018281535648994515,3,0.007314429514959933,0.018943288544879797,6.0
bollinger,1,4,4,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.0,1.0,1641,-0.0003350699225548997,-0.5498497429125904,997.0
bollinger,1,4,4,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.02,0.7781840341255332,1277,0.0001850156308961115,-0.029735039345666014,935.0
bollinger,1,4,4,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.05,0.49116392443631934,806,-0.00046510156742997035,-0.7258718633485562,787.0
bollinger,1,4,4,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.1,0.1687995124923827,277,-0.003492427242580933,-1.1554023461949183,380.0
bollinger,1,4,4,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.0,1.0,1641,-0.0004124722512078218,-0.6768669642320355,1083.0
bollinger,1,4,4,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.02,0.5764777574649604,946,-0.0005046584856248894,-0.8404069274011452,967.0
bollinger,1,4,4,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.05,0.1450335161486898,238,-0.0017025518242039398,-0.5792073341605378,356.0
bollinger,1,4,4,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.1,0.0,0,0.0,0.0,0.0
bollinger,1,4,4,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.0,1.0,1641,-0.0010201978131305141,-1.6741446113471736,857.0
bollinger,1,4,4,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.02,0.6410725167580743,1052,-0.000714691478304861,-1.055855435176714,737.0
bollinger,1,4,4,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.05,0.21937842778793418,360,-0.0007263430205509242,-0.43248348739833276,342.0
bollinger,1,4,4,3,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.1,0.015234613040828763,25,-0.0015898285053911082,-0.057745712634777714,36.0
rsi,1,4,5,1,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,2052,-0.0011397600976556178,-2.3387877203893277,1617.0
