signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,selected_pipeline_id,model_family,window_scheme,regime_conditioned,parameters_json,selected_calibration_method,selected_threshold,train_rows,fit_rows,calibration_rows,test_rows,benchmark_log_loss,candidate_log_loss,incremental_log_loss,benchmark_brier,candidate_brier,benchmark_ece,candidate_ece,policy_coverage,policy_nonzero_decisions,policy_mean_net_edge,policy_cumulative_net_return,policy_turnover_units,economic_gate_evaluated
rsi,6,24,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.1,1607,1607,0,1642,0.7406921646173217,0.7281109929091691,0.012581171708152539,0.27211417913232977,0.2668451375936405,0.13647060491066548,0.12201558444710772,0.5426309378806333,891,-0.0053257160140574395,-4.970212968525178,461.0,False
bollinger,6,24,1,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.1,1607,1607,0,1642,0.7406921646173217,0.7339681983424049,0.006723966274916782,0.27211417913232977,0.2686566696750809,0.13647060491066548,0.11320259358900951,0.48721071863581,800,-0.006396587759451829,-5.329270207561463,441.0,False
rsi,6,24,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.1,3249,3249,0,1642,0.6910085476073641,0.6900279269766447,0.0009806206307193532,0.24878137659234345,0.248248285972253,0.03252387102468112,0.0420670242614883,0.3617539585870889,594,-0.00024338007350193324,-0.3645677636601481,459.0,False
bollinger,6,24,2,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",none,0.0,2190,2190,0,1642,0.6895459547086419,0.6930502005615373,-0.003504245852895438,0.24814720127941228,0.2498976095841402,0.02593236589329461,0.052397805060331384,1.0,1642,0.001124021601263308,1.8456434692743517,691.0,False
rsi,6,24,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",none,0.05,2190,2190,0,1642,0.7138033847605738,0.7291852761035043,-0.015381891342930443,0.26002358882489524,0.2669146682312921,0.0882458187734598,0.11180333716037195,0.7545676004872107,1239,-0.0044601190460729166,-5.727087498084344,439.0,False
bollinger,6,24,3,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",sigmoid,0.0,2190,1746,438,1642,0.7002037215663444,0.724882204754724,-0.02467848318837962,0.25350971996529376,0.2651379754439555,0.058407048333381895,0.10880473547405939,1.0,1642,-0.00569419059110538,-9.349860950595033,73.0,False
rsi,6,24,4,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 4380}",none,0.0,4380,4380,0,1642,0.6978355232065844,0.7134609749013355,-0.015625451694751158,0.2523150906297295,0.25946950422034226,0.054600666860385685,0.06750014484195908,1.0,1642,0.0010513438369943037,1.7263065803446465,1099.0,False
bollinger,6,24,4,bollinger-p40-k1.5-continuation,regularized_linear-C0p1-window_observations4380-rolling_two_year-softstate,regularized_linear,rolling_two_year,True,"{""C"": 0.1, ""window_observations"": 4380}",none,0.0,4380,4380,0,1642,0.6937553448864965,0.7071507237345919,-0.013395378848095385,0.25031554518077,0.2568040322913429,0.040413620863480056,0.08824718844100346,1.0,1642,0.0018275421486318008,3.000824208053417,149.0,False
rsi,6,24,5,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.1,8175,8175,0,1636,0.6898841813475072,0.6876875631926168,0.002196618154890362,0.24839778888470718,0.2473210061239568,0.01295616118561156,0.011828190804119886,0.07334963325183375,120,0.012450186437321095,1.4130223724785314,162.0,False
bollinger,6,24,5,bollinger-p40-k1.5-continuation,regularized_linear-C0p1-window_observations4380-rolling_two_year-unconditioned,regularized_linear,rolling_two_year,False,"{""C"": 0.1, ""window_observations"": 4380}",none,0.1,4380,4380,0,1636,0.6893173369808915,0.6941808127615113,-0.0048634757806198525,0.24809883441885666,0.25048412068098674,0.018367510657509405,0.025766788552865,0.05256723716381418,86,0.01474963131159709,1.2204682927973498,96.0,False
