horizon_candles,outer_fold,Timestamp,state_p_range,state_p_trend,state_p_stress,state_label
6,3,2023-09-08 16:00:00+00:00,0.998350426434213,0.001206489358830473,0.00044308420695663163,range
6,3,2023-09-08 20:00:00+00:00,0.9977438556912394,0.0015770002214284384,0.000679144087332304,range
6,3,2023-09-09 00:00:00+00:00,0.9979069414177165,0.0012231446464656356,0.0008699139358177576,range
6,3,2023-09-09 04:00:00+00:00,0.9978122272131384,0.0013166175660480266,0.0008711552208134052,range
6,3,2023-09-09 08:00:00+00:00,0.9972987992424731,0.0020726137184994566,0.0006285870390273547,range
6,3,2023-09-09 12:00:00+00:00,0.9973806097110582,0.0017255784322415286,0.0008938118567001557,range
6,3,2023-09-09 16:00:00+00:00,0.9975945870323689,0.0013299995398011171,0.0010754134278300241,range
6,3,2023-09-09 20:00:00+00:00,0.9972733513771861,0.0015864349230228574,0.001140213699791025,range
6,3,2023-09-10 00:00:00+00:00,0.9966823124782211,0.0010401717528318137,0.0022775157689470813,range
6,3,2023-09-10 04:00:00+00:00,0.9797185358746707,0.0011332262999660047,0.019148237825363422,range
6,3,2023-09-10 08:00:00+00:00,0.9971580992871587,0.0006522664471699576,0.00218963426567142,range
6,3,2023-09-10 12:00:00+00:00,0.9977597042857068,0.0006291947258063189,0.0016111009884868766,range
6,3,2023-09-10 16:00:00+00:00,0.9978692153865575,0.0006849849687443564,0.0014457996446982722,range
6,3,2023-09-10 20:00:00+00:00,0.9979285856733672,0.0008066037958433863,0.0012648105307893644,range
6,3,2023-09-11 00:00:00+00:00,0.9980200898954554,0.0009901793212065142,0.0009897307833380256,range
6,3,2023-09-11 04:00:00+00:00,0.997265551986462,0.000676247266021641,0.002058200747516483,range
6,3,2023-09-11 08:00:00+00:00,0.9821905059506835,0.0007581569300798114,0.017051337119236672,range
6,3,2023-09-11 12:00:00+00:00,0.9973297070426105,0.0010531741287801214,0.001617118828609142,range
6,3,2023-09-11 16:00:00+00:00,0.9931428950516897,0.0005394431767076079,0.006317661771602467,range
6,3,2023-09-11 20:00:00+00:00,0.9974997467295695,0.0010471730764765549,0.0014530801939536848,range
6,3,2023-09-12 00:00:00+00:00,0.9961986196758436,0.0030679361517057494,0.0007334441724507752,range
6,3,2023-09-12 04:00:00+00:00,0.9983896367926678,0.0006109969327383719,0.000999366274593869,range
6,3,2023-09-12 08:00:00+00:00,0.997308903381302,0.0023133472823754406,0.0003777493363225351,range
6,3,2023-09-12 12:00:00+00:00,0.9980702261360945,0.0007503802849016019,0.0011793935790039077,range
6,3,2023-09-12 16:00:00+00:00,0.9986925638562054,0.0007378448276679306,0.0005695913161267918,range
6,3,2023-09-12 20:00:00+00:00,0.9987348269275306,0.0007590316602218938,0.0005061414122478063,range
6,3,2023-09-13 00:00:00+00:00,0.9987366028036645,0.00060419069373495,0.0006592065026004389,range
6,3,2023-09-13 04:00:00+00:00,0.9986871648797886,0.0008670522719761484,0.00044578284823523686,range
6,3,2023-09-13 08:00:00+00:00,0.9962754328919593,0.003354282261059609,0.00037028484698097745,range
6,3,2023-09-13 12:00:00+00:00,0.9969955249180124,0.002593826518822661,0.00041064856316499717,range
6,3,2023-09-13 16:00:00+00:00,0.9967684674804766,0.0026559682912003194,0.0005755642283228039,range
6,3,2023-09-13 20:00:00+00:00,0.9971845480544828,0.0023087237250727474,0.000506728220444567,range
6,3,2023-09-14 00:00:00+00:00,0.9868392634774709,0.012632150584126919,0.0005285859384022793,range
6,3,2023-09-14 04:00:00+00:00,0.9969427024676093,0.0022873844460956066,0.0007699130862951993,range
